Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Blaidd's Armor (Altered),,-,Body,"Armor of Blaidd, Knight of Ranni","Well-worn black armor of the man-wolf Blaidd. Blaidd, who served as Ranni's shadow, was a loyal ally who would defy destiny itself if it would have him turn upon his Lady.",12.5,14.0,12.4,14.0,14.6,10.9,12.4,9.5,11.4,32,57,-,22,-,21,20,500,Purple,Yes,171100,17,1100,13181,13181,1,90,608090,-1,-1,-1,
Briar Armor,,-,Body,Armor worn by Condor Knights,"Battered iron armor from a foreign land. Worn by Elemer of the Briar. The winding, rusted iron briars are a mark of the guilty, and typically indicate a sentence of death. Elemer murdered numerous instructors and merchants, and was known as the Bell Bearing Hunter.",11.8,12.9,11.4,13.5,12.4,10.9,12.4,8.8,10.9,35,71,-,24,-,24,15,500,Purple,Yes,210100,21,0100,13241,13241,1,90,608100,6021010,-1,-1,
Briar Armor (Altered),,-,Body,Armor worn by Condor Knights,"Battered iron armor from a foreign land. Worn by Elemer of the Briar. The winding, rusted iron briars are a mark of the guilty, and typically indicate a sentence of death. Elemer murdered numerous instructors and merchants, and was known as the Bell Bearing Hunter.",10.7,12.4,10.9,12.4,11.9,10.2,11.4,7.1,9.5,29,61,-,21,-,21,12,500,Purple,Yes,211100,21,1100,13251,13251,1,90,608110,6021110,-1,-1,
Fingerprint Armor,,-,Body,Deformed armor of a mad knight in despair,"Iron armor singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?",10.6,13.5,11.9,11.9,11.9,9.5,12.6,6.7,9.5,32,60,-,11,-,23,19,500,Purple,Yes,950100,95,0100,14571,14571,1,90,608120,-1,-1,-1,
Fingerprint Armor (Altered),,-,Body,Deformed armor of a mad knight in despair,"Iron armor singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?",10.0,13.1,11.5,11.5,11.5,9.1,12.2,6.3,9.1,29,54,-,10,-,21,17,500,White,Yes,951100,95,1100,14581,14581,1,90,608130,-1,-1,-1,
Royal Remains Armor,,-,Body,Armor that mediates via body of famed ancestor,"Armor graced with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing. Slowly replenishes HP when HP is reduced. It is said that the bones belong to an ancient lord―the soulless king. The lord of the lost and desperate, who was known as Ensha.",10.6,11.9,11.4,12.9,11.9,9.5,10.2,8.0,8.8,35,57,-,24,-,11,15,500,White,Yes,690100,69,0100,14061,14061,1,90,608140,6069010,-1,-1,
All-Knowing Armor,,-,Body,"Armor of Gideon Ofnir, the All-Knowing","Armor set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",10.7,12.9,11.9,13.5,11.9,12.4,9.5,10.2,8.8,28,46,-,21,-,21,16,1000,White,Yes,590100,59,0100,13861,13861,1,90,608150,-1,-1,-1,
All-Knowing Armor (Altered),,-,Body,"Armor of Gideon Ofnir, the All-Knowing","Armor set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",9.3,12.4,10.9,12.9,11.4,11.4,8.8,9.5,8.0,22,38,-,16,-,16,13,1000,Purple,Yes,591100,59,1100,13871,13871,1,90,608160,-1,-1,-1,
Royal Knight Armor,,-,Body,Armor of an Arbor Sentinel,"Silver armor of Loretta, a knight who served Miquella's Haligtree. Loretta was once a royal Carian knight, and her lapis-lazuli blue cape is the emblem of the knightly pride that continues to guide her.",15.5,16.0,14.4,17.5,16.8,14.1,13.3,12.4,13.0,50,67,-,35,-,35,24,1000,Purple,Yes,280100,28,0100,13371,13371,1,90,608170,-1,-1,-1,
Royal Knight Armor (Altered),,-,Body,Armor of an Arbor Sentinel,"Silver armor of Loretta, a knight who served Miquella's Haligtree. Loretta, once a royal Carian knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation.",15.0,15.8,14.2,17.3,16.6,13.9,13.1,12.2,12.8,45,61,-,32,-,32,21,1000,Purple,Yes,281100,28,1100,13381,13381,1,90,608180,-1,-1,-1,
Maliketh's Armor,,-,Body,Armor of Maliketh the Black Blade,"Beast's armor made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions.",12.8,13.5,11.9,14.0,13.5,10.9,11.4,9.5,12.8,35,57,-,24,-,50,19,2000,Purple,Yes,760100,76,0100,14151,14151,1,90,608190,-1,-1,-1,
Maliketh's Armor (Altered),,-,Body,Armor of Maliketh the Black Blade,"Beast's armor made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions.",11.8,12.9,11.4,13.5,12.4,10.2,10.9,8.8,12.6,29,50,-,21,-,42,14,2000,Purple,Yes,761100,76,1100,14161,14161,1,90,608200,-1,-1,-1,
Banished Knight Armor,,-,Body,"Knight's armor, worn by salt winds and battle","Thick, full set of armor covering the entire body. This armor was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",17.5,18.7,15.0,19.2,17.5,13.5,13.5,13.0,13.3,60,83,-,38,-,42,28,100,White,Yes,200100,20,0100,13221,13221,1,100,609000,-1,-1,-1,
Banished Knight Armor (Altered),,-,Body,Armor of a Stormveil Knight,"Thick, full set of armor covering the entire body. This armor was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",16.5,18.3,14.4,18.7,16.8,13.3,13.3,12.8,13.0,52,69,-,32,-,34,25,100,White,Yes,201100,20,1100,13231,13231,1,100,609010,-1,-1,-1,
Night's Cavalry Armor,,-,Body,Armor covered in blackened bloodstains,"Pitch-black armor thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",12.8,14.0,12.9,14.0,13.5,10.9,12.6,10.9,12.6,38,57,-,24,-,24,21,500,White,Yes,230100,23,0100,13281,13281,1,100,609020,-1,-1,-1,
Night's Cavalry Armor (Altered),,-,Body,Armor covered in blackened bloodstains,"Pitch-black armor thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",11.8,13.5,12.4,13.5,12.4,10.2,12.4,10.2,12.4,32,50,-,21,-,21,17,500,White,Yes,231100,23,1100,13291,13291,1,100,609030,-1,-1,-1,
Veteran's Armor,,-,Body,Veteran General's old armor,"Old armor that has seen many battles. Worn by Niall, the veteran general of Sol. Niall was a lone survivor who commanded spirits to defend his long-passed master. This aging general could not die, nor did he have anywhere to fade away.",18.9,18.7,17.0,18.7,17.5,13.5,14.1,12.8,13.3,63,90,-,46,-,46,37,1000,White,Yes,780100,78,0100,14191,14191,1,100,609040,-1,-1,-1,
Veteran's Armor (Altered),,-,Body,Veteran General's old armor,"Old armor that has seen many battles. Worn by Niall, the veteran general of Sol. Niall was a lone survivor who commanded spirits to defend his long-passed master. This aging general could not die, nor did he have anywhere to fade away.",17.2,18.1,16.8,18.5,17.3,13.1,13.6,12.4,12.8,54,75,-,38,-,38,29,1000,Purple,Yes,781100,78,1100,14201,14201,1,100,609050,-1,-1,-1,
Scaled Armor,,-,Body,Armor made from layered ancient dragon scales,"Armor worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it highly effective against non-physical attacks. Istvan is one of a few wizened Tarnished who survive to this day.",16.0,16.0,13.9,16.8,16.0,13.5,14.1,13.0,13.5,57,83,-,38,-,38,27,500,Purple,Yes,80100,8,0100,13041,13041,1,100,609060,-1,-1,-1,
Scaled Armor (Altered),,-,Body,Armor made of layered ancient dragon scales,"Armor worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it highly effective against non-physical attacks. Istvan is one of a few wizened Tarnished who survive to this day.",15.0,15.3,13.4,16.0,15.3,12.8,13.3,12.4,12.8,45,64,-,29,-,29,22,500,Purple,Yes,81100,8,1100,13051,13051,1,100,609070,-1,-1,-1,
Beast Champion Armor,,-,Body,Armor of Belnahr the Traitor,"Silver armor engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire.",17.5,17.5,16.3,18.7,18.3,13.0,13.8,12.8,13.5,57,90,-,42,-,38,28,200,Purple,Yes,720100,72,0100,14101,14101,1,100,609080,-1,-1,-1,
Beast Champion Armor (Altered),,-,Body,Armor of Belnahr the Traitor,"Silver armor engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire.",16.4,17.2,15.9,18.5,18.2,12.9,13.7,12.7,13.4,50,75,-,34,-,32,25,200,White,Yes,721100,72,1100,14111,14111,1,100,609090,-1,-1,-1,
Tree Sentinel Armor,,-,Body,Armor of a Tree Sentinel,"Golden armor of the heavy cavalry Tree Sentinels who serve the Erdtree. Adorned with a cape featuring the mark of the sacred tree. Imposingly sturdy and nigh unbreakable, the grace of old yet lingers.",18.9,18.7,15.0,18.7,17.5,13.0,17.1,12.6,14.1,67,90,-,42,-,46,28,1000,White,Yes,270100,27,0100,13351,13351,1,100,609100,-1,-1,-1,
Tree Sentinel Armor (Altered),,-,Body,Armor of a Tree Sentinel,"Golden armor of the heavy cavalry Tree Sentinels who serve the Erdtree. Imposingly sturdy and nigh unbreakable, the grace of old yet lingers.",18.1,18.5,14.8,18.5,17.3,12.6,16.4,12.4,14.0,57,75,-,34,-,38,25,1000,White,Yes,271100,27,1100,13361,13361,1,100,609110,-1,-1,-1,
Malformed Dragon Armor,,-,Body,"Malformed, golden armor used by Gnarrl","Malformed golden armor. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves.",16.0,16.8,15.0,17.5,16.8,13.0,13.0,13.8,13.0,57,76,-,38,-,38,26,1000,White,Yes,260100,26,0100,13341,13341,1,100,609120,-1,-1,-1,
Crucible Axe Armor,,-,Body,Armor used by Ordovis of the Crucible and his men,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord. Worn by the knight Ordovis and his men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",15.5,17.5,13.9,16.8,16.8,13.0,12.8,11.4,13.5,50,71,-,35,-,35,27,1000,White,Yes,570100,57,0100,13801,13801,1,100,609130,6057010,-1,-1,
Crucible Axe Armor (Altered),,-,Body,Armor used by Ordovis of the Crucible and his men,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord. Worn by the knight Ordovis and his men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",14.9,16.8,13.4,16.0,16.0,12.8,12.6,10.9,13.3,42,61,-,29,-,29,23,1000,White,Yes,572100,57,2100,13821,13821,1,100,609140,6057210,-1,-1,
Crucible Tree Armor,,-,Body,Armor used by Siluria of the Crucible and her men,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord. Worn by the knight Siluria and her men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",15.5,17.7,13.9,17.5,15.8,13.0,11.9,11.4,14.5,50,71,-,35,-,35,27,1000,White,Yes,571100,57,1100,13811,13811,1,100,609150,6057110,-1,-1,
Crucible Tree Armor (Altered),,-,Body,Armor used by Siluria of the Crucible and her men,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord. Worn by the knight Siluria and her men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",14.9,17.0,13.4,16.0,15.6,12.8,11.4,10.9,14.1,42,61,-,29,-,29,23,1000,White,Yes,573100,57,3100,13831,13831,1,100,609160,6057310,-1,-1,
Radahn's Lion Armor,,-,Body,"Armor of Radahn, God of War","Armor depicting the golden lion. Worn by General Radahn. The golden lion is said to symbolize Godfrey, the first Elden Lord, and his beast regent, Serosh. From his youngest years, Radahn was naturally captivated by the Lord of the Battlefield.",17.5,18.7,15.0,18.3,17.5,13.5,14.1,12.6,13.5,60,99,-,42,-,38,28,2000,White,Yes,470100,47,0100,13671,13671,1,100,609170,-1,-1,-1,
Radahn's Lion Armor (Altered),,-,Body,"Armor of Radahn, God of War","Armor depicting the golden lion. Worn by General Radahn. The golden lion is said to symbolize Godfrey, the first Elden Lord, and his beast regent, Serosh. From his youngest years, Radahn was naturally captivated by the Lord of the Battlefield.",16.4,18.5,14.6,17.7,17.0,13.3,14.0,12.4,13.3,52,82,-,34,-,32,24,2000,White,Yes,471100,47,1100,14701,14701,1,100,609180,-1,-1,-1,
Lionel's Armor,,-,Body,Oddly shaped armor used by foreign knights,"Round iron armor with a banner extending from its back. Worn by Lionel the Lionhearted. When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",21.2,17.5,16.3,19.2,19.7,13.5,14.9,13.0,13.5,63,99,-,42,-,50,37,500,White,Yes,640100,64,0100,13971,13971,1,110,610000,-1,-1,-1,
Lionel's Armor (Altered),,-,Body,Oddly shaped armor used by foreign knights,"Round iron armor. Worn by Lionel the Lionhearted. When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",20.2,17.1,15.9,18.8,19.3,13.1,14.5,12.6,13.1,57,90,-,38,-,45,33,500,White,Yes,641100,64,1100,13981,13981,1,110,610010,-1,-1,-1,
Bull-Goat Armor,,-,Body,Great Horned Tragoth's armor,"Great Horned Tragoth's armor. Covers its wearer with a pair of giant horns, providing staunch poise. Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid.",26.5,20.4,20.2,18.3,18.3,13.3,13.5,14.9,12.8,71,83,-,46,-,55,47,500,White,Yes,140100,14,0100,13131,13131,1,110,610020,-1,-1,-1,
Omen Armor,,-,Body,Armor of a curse gnawed Omen,"Malformed armor resembling an Omen with its horns cut off. Worn by the Dung Eater. The heavy, sun-shaped medallion represents both the guidance he once saw, and the ring to which it will one day lead.",23.1,18.3,15.0,18.7,18.7,13.0,14.5,14.9,13.8,67,63,-,57,-,76,40,500,White,Yes,970100,97,0100,14631,14631,1,110,610030,6097010,6097011,-1,
Fire Prelate Armor,,-,Body,Fire Prelate armor adorned with a red cloth,"Black iron armor adorned with a red cloth. Attire of the Fire Prelates, commanders of the Fire Monks. The weighty frames of the Prelates symbolized the onus of their grave vows as guardians of the flame. ""Etch this sight upon thine breast. Of my thunderous gravity.""",24.7,19.2,17.0,18.3,18.3,13.5,19.8,13.0,13.3,67,63,-,90,-,50,40,500,White,Yes,360100,36,0100,13521,13521,1,110,610040,-1,-1,-1,
Fire Prelate Armor (Altered),,-,Body,Fire Prelate armor adorned with a red cloth,"Black iron armor. Attire of the Fire Prelates, commanders of the Fire Monks. The weighty frames of the Prelates symbolized the onus of their grave vows as guardians of the flame. ""Etch this sight upon thine breast. Of my thunderous gravity.""",23.6,18.7,16.3,17.5,17.5,13.3,18.3,12.8,13.0,57,54,-,75,-,42,37,500,White,Yes,361100,36,1100,13531,13531,1,110,610050,-1,-1,-1,
Ragged Armor,,-,Body,Armor pieced together from scavenged metal,Armor pieced together from scavenged metal.,9.2,9.5,10.2,9.5,9.5,10.9,11.4,11.9,10.9,63,42,-,55,-,55,8,100,White,No,610100,61,0100,13901,13901,1,255,999999,-1,-1,-1,
Ragged Armor (Altered),,-,Body,Armor pieced together from scavenged metal,Armor pieced together from scavenged metal.,8.5,9.1,9.8,9.1,9.1,10.5,11.2,11.7,10.5,60,38,-,50,-,50,7,100,White,No,611100,61,1100,13911,13911,1,255,999999,-1,-1,-1,
